isbn13,average_rating,book_id,format,num_pages,publication_year,ratings_count,text_reviews_count,to_read_count,series_binary,author_average_rating
9780061807237,4.3,13623792,Paperback,384,2012,118,10,313.0,1,4.14
9780061958229,3.85,15818145,Paperback,32,2013,3,2,8.0,1,3.745
9780061963216,3.86,13623804,Hardcover,352,2012,17,5,501.0,1,3.84
9780061963506,3.92,7842600,ebook,576,2010,8,4,1892.0,0,3.92
9780061967832,4.03,9845333,Paperback,368,2010,16,4,148.0,1,4.03
9780061975608,4.03,10138590,ebook,246,2009,144,22,7725.0,1,3.99
9780061989964,3.98,7939677,ebook,266,2010,12,2,732.0,1,3.88
9780062009647,3.56,9365485,ebook,336,2010,40,14,4730.0,1,3.8
9780062023063,4.19,9646323,Paperback,321,2010,125,29,16295.0,0,4.17
9780062025326,3.83,10432795,Paperback,384,2011,66,13,1233.0,1,3.75
9780062048745,3.82,9429500,ebook,264,2010,189,55,3146.0,0,3.84
9780062071811,3.53,12690570,Hardcover,304,2012,34,8,194.0,0,3.6
9780062072962,3.79,13623905,Hardcover,304,2012,41,7,31.0,0,3.84
9780062073174,4.17,13622750,ebook,464,2012,32,4,2005.0,1,4.17
9780062078070,4.23,13109352,Mass Market Paperback,372,2012,8065,389,1151.0,1,4.12
9780062117335,4.08,25816646,Paperback,384,2016,6,3,5283.0,1,3.85
9780062135841,3.75,12578370,Hardcover,232,2014,3749,491,8536.0,1,3.87
9780062201034,3.85,15818532,Paperback,368,2013,989,187,2531.0,0,3.78
9780062207333,4.15,24331353,Paperback,448,2015,35,10,12548.0,1,3.9
9780062225924,4.06,16065633,ebook,487,2013,1613,177,40.0,1,3.91
9780062263131,3.57,16065757,Audiobook,10,2013,33,8,294.0,0,3.66
9780062271532,4.19,22635844,Hardcover,416,2015,397,54,242.0,1,4.08
9780062273710,3.75,17079624,Paperback,403,2013,118,16,142.0,1,3.96
9780062299468,3.53,32703429,Hardcover,288,2017,665,173,5074.0,0,3.83
9780062314123,4.03,20359710,ebook,336,2014,18,6,642.0,1,3.97
9780062316011,4.09,20452210,ebook,384,2015,3591,315,3822.0,1,4.12
9780062342904,3.73,23367393,Hardcover,320,2016,168,26,244.0,0,3.73
9780062354754,3.97,24331458,Hardcover,240,2015,87,29,441.0,0,3.94
9780062385710,4.02,25817346,Hardcover,288,2016,496,118,1174.0,0,3.77
9780062388148,3.87,25657772,Mass Market Paperback,375,2016,10274,1234,18487.0,1,3.98
9780062392015,3.78,25742245,ebook,352,2016,26,10,4584.0,0,4.06
9780062405456,3.57,25817473,Hardcover,40,2015,198,38,57.0,0,3.84
9780062421975,3.36,27776533,ebook,368,2016,615,100,1164.0,0,3.8200000000000003
9780062422545,3.71,31448982,ebook,400,2017,86,34,1314.0,0,3.82
9780062562562,3.83,30623143,Paperback,322,2016,7,4,9977.0,0,3.85
9780062642998,4.09,30363362,Paperback,312,2017,80,18,3533.0,1,4.11
9780064400749,3.62,1406570,Paperback,128,1976,53,8,74.0,0,3.96
9780064405140,3.66,64475,Paperback,112,1995,40,10,27.0,0,3.82
9780064430111,4.24,908940,Paperback,32,1976,8424,75,848.0,1,4.1850000000000005
9780071412605,3.98,342607,Paperback,288,2003,164,15,203.0,0,4.03
9780071453882,4.0,744861,Paperback,224,2005,1,1,7.0,0,3.98
9780091752088,4.33,1558618,Hardcover,256,1992,21,2,963.0,0,4.18
9780091793722,3.61,1474413,Paperback,288,2001,5,2,89.0,1,3.64
9780091944179,3.79,17307184,Hardcover,320,2013,42,17,211.0,0,3.61
9780091944681,3.85,11158230,Paperback,318,2011,33,9,466.0,0,3.82
9780099072706,3.64,3008710,Paperback,352,1974,19,6,307.0,1,3.71
9780099410133,3.77,6179917,Paperback,448,2006,14,2,140.0,1,3.95
9780099415169,3.89,71675,Paperback,319,2002,3115,263,553.0,1,3.85
9780099438014,3.79,500353,Paperback,169,2002,30,4,41.0,0,4.13
9780099453185,4.03,3086391,Paperback,432,1996,11,1,1549.0,0,4.04
9780099466253,3.7,2015239,Paperback,480,2008,12,3,812.0,0,3.62
9780099468691,3.29,726193,Paperback,176,2007,192,26,233.0,0,3.45
9780099497622,4.09,799682,Paperback,368,2006,14,3,204.0,1,4.04
9780099521167,3.71,3258009,Paperback,352,2008,135,14,2329.0,0,3.83
9780099521785,4.01,6355413,Paperback,512,2008,51,3,54.0,0,3.95
9780099562535,4.15,13154093,Hardcover,480,2011,86,7,76.0,0,4.16
9780099581550,3.38,18332170,Paperback,336,2014,94,18,94.0,0,3.76
9780099587088,3.94,20319281,Paperback,618,2006,59,12,29863.0,1,3.94
9780099592013,3.83,702955,Paperback,208,1996,84,8,42.0,0,3.87
9780099597599,4.18,19186497,Paperback,632,2014,36,7,6912.0,0,4.12
9780137910793,3.66,1179324,Paperback,228,1982,21,1,55.0,0,3.73
9780140086843,4.09,107283,Paperback,266,1986,138,15,247.0,1,3.9
9780140145496,3.77,461700,Paperback,432,1994,76,13,119.0,0,3.88
9780140159424,3.72,398334,Paperback,384,1996,61,9,117.0,0,3.7350000000000003
9780140202311,3.54,1570040,Paperback,224,1950,41,3,68.0,1,3.63
9780140275650,3.84,6207,Paperback,198,1998,2545,168,1520.0,0,3.76
9780140280968,3.31,33006,Paperback,320,2004,117,22,1064.0,0,3.46
9780140285376,3.66,1722856,Paperback,320,2000,38,6,46.0,0,3.67
9780140310726,4.15,266832,Paperback,192,1977,1342,50,508.0,1,4.19
9780140322125,4.0,2131873,Paperback,96,1989,2,1,3.0,0,3.83
9780140324112,3.44,1261188,Paperback,240,1987,80,5,44.0,1,3.895
9780140348934,3.79,310459,Paperback,288,1991,93822,3503,6923.0,1,3.83
9780140350074,3.8,2880349,Paperback,281,1986,43,4,2650.0,0,4.05
9780140366495,3.62,2657291,Paperback,192,1994,24,3,1506.0,0,3.59
9780140514513,4.15,700601,Paperback,831,2001,49,4,118.0,0,4.16
9780141014081,4.53,15195,Paperback,296,2003,79457,4143,2997.0,1,4.38
9780141023380,3.61,239272,Paperback,197,2006,2378,193,86574.0,1,3.63
9780141026800,3.63,873901,Paperback,352,2007,50,6,58.0,0,3.8
9780141032566,3.58,3038606,Paperback,119,2008,398,34,473.0,0,3.985
9780141040752,3.77,12134801,Paperback,412,2012,138,34,8462.0,1,3.74
9780141042022,3.69,12164241,Paperback,96,2010,64,9,44.0,0,3.93
9780141047799,3.56,14799905,Paperback,452,2012,50,7,369.0,0,3.69
9780141306759,3.94,536711,Paperback,64,2002,420,27,218.0,1,3.91
9780141319131,4.23,893172,Paperback,375,2006,2296,324,44859.0,1,4.32
9780141320267,4.03,1312535,Paperback,154,2005,176,4,128.0,1,4.0
9780141325958,4.52,11929142,Paperback,118,2009,61,4,82.0,1,4.21
9780141374482,4.17,32167355,Paperback,160,2016,57,12,2625.0,1,3.95
9780142000199,4.12,36555,Paperback,288,2001,170,8,189.0,0,4.133333333333334
9780142401071,3.76,26572,Paperback,206,2004,110,13,2129.0,0,4.05
9780142402290,3.5,927526,Paperback,176,2004,160,21,166.0,0,3.77
9780142422601,3.72,13542731,Paperback,368,2013,103,14,296.0,0,3.77
9780142437506,4.1,428845,Paperback,560,2012,83,9,292.0,0,4.045
9780143035510,3.04,980796,Paperback,128,2005,26,6,11.0,0,3.12
9780143036715,3.77,168468,Paperback,566,2006,303,40,1242.0,0,3.76
9780143068280,4.12,11152966,Paperback,264,2012,728,66,946.0,0,4.13
9780143117025,4.3,6833170,Paperback,336,2009,301,42,15176.0,1,4.21
9780143117476,3.55,7701911,Paperback,208,2010,90,18,1193.0,0,3.64
9780143129110,3.65,25194122,Paperback,352,2015,52,11,119324.0,0,3.8649999999999998
9780143305040,4.06,12249539,Paperback,66,2011,27,2,24.0,1,3.88
9780143420620,3.89,17624008,Paperback,200,2013,80,9,35.0,0,4.03
9780143531449,3.5,24723709,ebook,176,2015,11,3,59.0,0,3.5
9780143783312,4.59,34804161,Paperback,417,2017,35,14,26.0,0,3.78
9780147518163,4.44,24847490,Paperback,812,2015,103,9,406.0,1,3.97
9780152014599,4.02,919981,Hardcover,32,2001,60,18,15.0,0,4.005
9780156005043,3.37,469772,Paperback,272,1997,88,11,29.0,0,3.47
9780156631402,3.96,15907,Paperback,162,1990,856,99,987.0,0,3.965
9780192750976,4.04,78039,Paperback,192,2000,52724,874,3886.0,1,3.98
9780192834768,3.77,1030241,Paperback,499,1998,39,5,9108.0,0,4.029999999999999
9780194229845,3.59,1153757,Paperback,64,2001,22,7,79.0,0,3.74
9780195112283,3.65,149718,Hardcover,736,2000,27,2,68.0,0,3.74
9780195157055,3.6,646752,Paperback,539,2004,48,7,13.0,0,3.585
9780195326925,2.5,6897255,Hardcover,340,2009,2,1,14.0,0,2.5
9780198124481,4.17,1870094,Hardcover,675,1989,7,3,651.0,0,4.1
9780198504139,3.67,2011602,Hardcover,464,1999,32,6,29.0,0,3.67
9780199290970,3.78,2494284,Paperback,599,2007,9,1,5.0,0,3.91
9780199680207,4.5,18172511,Hardcover,240,2013,6,3,16.0,0,3.68
9780199746682,4.0,12962022,Hardcover,216,2011,8,1,9.0,0,4.0
9780199924622,4.0,17014041,Hardcover,408,2013,3,1,2.0,0,4.0
9780201633467,4.31,505560,Hardcover,600,1993,975,29,1206.0,0,4.3
9780205076437,0.0,2714074,Unknown Binding,194,1982,0,1,2.0,0,4.4
9780224082532,4.14,7249051,Hardcover,304,2009,12,2,6.0,0,4.03
9780224093507,3.04,11471451,Hardcover,288,2012,35,6,46.0,1,2.93
9780224098847,3.95,19186356,Hardcover,160,2014,42,6,57.0,0,3.97
9780226013855,4.16,261521,Paperback,135,2001,670,75,861.0,0,4.1075
9780226037102,4.19,579462,Paperback,128,2013,157,9,380.0,0,4.11
9780226043517,3.78,2549298,Hardcover,144,2008,83,5,101.0,0,3.775
9780226118635,3.92,2553078,Hardcover,413,1991,2,1,19.0,1,3.75
9780226306216,4.04,30605,Paperback,296,1988,51,2,66.0,0,3.96
9780226308463,4.16,6390014,Paperback,184,2009,18,3,53.0,0,3.9666666666666663
9780226346847,4.2,1427559,Paperback,618,1977,104,5,271.0,1,4.15
9780230341203,3.48,12851190,ebook,240,2011,2,2,780.0,0,3.92
9780230531253,3.63,1978297,Paperback,280,2008,59,7,109.0,0,3.97
9780231128957,3.62,1782379,Paperback,211,2007,36,10,66.0,0,3.82
9780231141895,3.33,7118145,Paperback,274,2010,15,1,11.0,0,3.29
9780241259405,3.72,30118092,Paperback,256,2016,14,1,8191.0,0,3.77
9780241906125,4.33,338687,Hardcover,565,1955,414,48,396.0,0,4.25
9780245061004,3.02,3598233,Paperback,166,2005,57,5,32.0,0,3.13
9780253001191,3.0,13697117,Paperback,248,2012,4,2,6.0,0,3.0
9780253208699,4.14,23070,Paperback,304,1991,316,3,476.0,0,3.94
9780256016376,4.0,4881646,Hardcover,542,1975,19,4,148.0,0,4.025
9780262194013,4.5,1605239,Hardcover,391,1999,4,1,15.0,0,4.2
9780262195744,3.32,6328491,Hardcover,125,2009,50,9,68.0,0,3.58
9780262600279,3.92,2924649,Paperback,453,1997,12,4,10.0,0,3.63
9780263246742,3.32,22732243,Paperback,304,2014,59,15,3693.0,1,3.35
9780271027494,3.5,54950,Hardcover,240,2006,4,1,9.0,0,3.6
9780275954048,3.67,2997160,Hardcover,224,1997,3,1,1.0,0,2.8
9780292771130,4.57,490074,Hardcover,389,2002,7,2,35.0,0,4.300000000000001
9780297850663,2.98,1601610,Hardcover,224,2006,9,2,116.0,0,3.2
9780297853558,3.95,2392030,Paperback,256,2008,43,4,1547.0,0,3.89
9780297855552,3.86,5776287,Paperback,432,2009,406,93,7202.0,1,4.119999999999999
9780297866695,3.26,11865133,Hardcover,304,2012,72,13,76.0,1,3.535
9780297871293,3.62,25434754,Paperback,256,2014,2,1,71.0,0,3.65
9780300024968,3.25,1207624,Paperback,248,1980,32,1,19.0,0,3.4050000000000002
9780300044850,3.29,1350244,Paperback,16,1989,12,3,12.0,0,4.11
9780300045291,4.0,2805067,Hardcover,306,1990,1,1,5.0,0,3.82
9780300162301,3.96,13192623,Paperback,352,2012,17,2,48.0,0,3.78
9780306803420,4.53,219895,Paperback,412,1989,119,14,70.0,0,4.195
9780307106063,4.15,2105694,Hardcover,31,1983,9,1,501.0,1,4.21
9780307240576,4.12,1657414,Paperback,160,1987,37,5,14.0,0,4.01
9780307377456,3.36,7945243,Hardcover,551,2010,1110,127,1472.0,1,3.51
9780307379368,3.51,17857635,Hardcover,208,2014,244,43,620.0,0,3.9099999999999997
9780307386687,3.63,7092674,Paperback,225,2007,17,4,5946.0,0,3.97
9780307397072,4.08,2502513,Hardcover,80,2008,64,5,166.0,1,3.86
9780307405098,4.25,8731182,Paperback,352,2011,1527,27,853.0,0,4.02
9780307417152,3.97,7994486,ebook,576,2007,8,4,115886.0,0,3.936666666666667
9780307577245,4.4,12478853,Audiobook,0,2011,7,2,923.0,1,4.07
9780307589217,4.04,8584950,ebook,304,2009,5,1,19.0,0,4.12
9780307599803,4.12,17797249,Hardcover,421,2014,148,28,2332.0,0,3.99
9780307778000,4.13,10435878,ebook,192,2011,2,1,247.0,0,4.25
9780307908476,3.3,17345027,ebook,64,2013,19,5,28.0,0,3.94
9780307928603,3.94,12273112,ebook,488,2011,47,7,23.0,0,3.83
9780310284338,4.12,9170770,Hardcover,319,2010,12,2,32.0,1,4.21
9780310910923,4.56,20751,Hardcover,2055,2000,107,9,17.0,0,4.15
9780312254582,3.0,1497326,Hardcover,224,2001,31,9,18.0,0,3.36
9780312322984,3.0,926587,Hardcover,304,2005,17,5,28.0,1,2.93
9780312336974,3.98,871129,Hardcover,276,1983,55,7,42.0,0,4.18
9780312347390,3.81,720506,Hardcover,272,2005,87,19,2100.0,0,3.81
9780312352264,2.89,179409,Hardcover,224,2006,221,33,310.0,0,3.033333333333333
9780312363413,4.03,6795311,Hardcover,656,2007,6,5,182.0,1,3.79
9780312381998,3.6,9672754,Paperback,368,2011,121,17,6228.0,0,3.59
9780312601409,3.5,11031312,Paperback,368,2011,29,4,66.0,0,3.4400000000000004
9780312867164,3.83,2560223,Hardcover,352,1998,16,3,255.0,1,3.89
9780312934279,3.59,108406,Paperback,339,2006,90,9,134.0,0,3.83
9780312937690,3.76,13199,Paperback,288,2005,8289,134,1559.0,0,4.0
9780316014540,3.67,2413330,Paperback,196,2008,481,88,16196.0,0,3.71
9780316053617,3.8,8140535,Hardcover,326,2011,6003,549,11335.0,0,3.83
9780316077385,4.44,7103884,Paperback,688,2009,299,41,123.0,1,4.44
9780316207331,3.52,13519020,ebook,100,2011,32,1,191.0,0,3.9257142857142857
9780316272421,4.06,29775346,Paperback,208,2016,39,9,337.0,1,4.23
9780316298131,4.56,22208262,Paperback,240,2014,85,16,288.0,1,4.37
9780316311335,4.05,27917673,Hardcover,96,2016,231,38,365.0,0,3.865
9780316382069,3.38,26245099,Hardcover,373,2016,798,168,646.0,0,3.42
9780316501460,3.4,30079701,Paperback,128,2016,41,6,24.0,0,3.57
9780316695503,4.16,1756594,Hardcover,698,1982,67,7,99.0,0,4.05
9780321133755,3.7,1719737,Paperback,592,2003,1,1,17.0,0,3.37
9780330255417,3.68,1616159,Paperback,252,1978,6,2,504.0,0,4.03
9780330452441,3.67,7981800,Paperback,476,2011,37,7,2199.0,0,3.91
9780330520423,3.92,10518148,Paperback,394,2011,101,25,18200.0,1,3.88
9780333259979,3.36,994444,Hardcover,296,1979,76,14,89.0,0,3.86
9780333924358,3.6,1095142,Paperback,180,2003,9,2,65.0,1,3.93
9780340501573,4.0,2379511,Hardcover,272,1991,2,1,6.0,0,4.14
9780340624760,3.32,1594706,Paperback,336,2003,16,4,120.0,0,4.27
9780340746202,3.84,1193278,Paperback,206,2005,124,4,56.0,0,3.84
9780340820650,3.96,2201391,Unknown Binding,384,2002,7,1,1717.0,1,3.945
9780340831205,3.94,38211,Paperback,224,2005,1453,79,526.0,0,4.16
9780340831663,3.63,1925636,Paperback,435,2007,15,1,22.0,0,3.52
9780340988145,3.91,13706633,Paperback,174,2012,15,2,32.0,1,3.76
9780345244826,3.81,3218173,Paperback,562,1977,346,38,429.0,0,3.91
9780345319524,3.08,13298568,paperback,183,1984,11,3,7.0,0,3.1
9780345384362,4.04,379305,Mass Market Paperback,448,2000,363,55,4718.0,0,3.91
9780345405012,4.12,192955,Paperback,588,1996,5504,291,7494.0,0,4.13
9780345411006,3.75,66405,Paperback,432,2005,282,23,126.0,0,4.17
9780345423467,3.79,1081533,Hardcover,435,1999,27,7,335.0,0,3.81
9780345427694,3.63,602482,Paperback,304,2001,92,15,47.0,0,3.59
9780345436573,3.29,2252066,Mass Market Paperback,256,1999,22,5,17.0,0,3.51
9780345445940,3.31,437645,Paperback,304,2003,160,28,143.0,0,3.52
9780345455444,3.85,409992,Paperback,208,2004,314,38,302.0,0,3.59
9780345476784,3.38,262390,Paperback,288,2004,986,123,396.0,0,3.69
9780345483478,4.27,1278163,Paperback,416,2005,3,1,5284.0,0,4.18
9780345496256,3.61,1397874,Paperback,384,2008,3394,132,4314.0,1,3.84
9780345498939,4.31,2387971,Paperback,208,2007,581,11,148.0,1,4.21
9780345500106,4.1,7094277,ebook,382,2007,43,7,2161.0,1,4.18
9780345507754,3.7,6542531,ebook,0,2008,25,3,642.0,1,4.02
9780345512208,4.33,7997213,Paperback,512,2010,82,6,76.0,1,4.0
9780345523938,3.3,8458786,Paperback,240,2010,558,74,423.0,0,3.8
9780345530820,3.95,13154936,Paperback,402,2012,420,69,3006.0,0,4.22
9780345532428,3.41,13147813,Hardcover,340,2012,1331,265,4665.0,1,3.4
9780345548757,3.98,17857785,ebook,288,2013,539,122,941.0,1,4.17
9780345815200,4.2,29092886,Hardcover,416,2016,172,29,222.0,1,4.09
9780349005935,3.82,25996434,Paperback,240,2016,62,17,970.0,0,3.82
9780349123745,4.06,13446688,Paperback,440,2012,755,164,9127.0,1,4.073333333333333
9780349139562,3.79,17375935,Paperback,422,2013,15,4,666.0,0,3.76
9780352300997,3.33,3119333,Mass Market Paperback,136,1972,8,1,36.0,1,3.77
9780352347619,3.7,17612887,Paperback,336,2013,412,33,525.0,1,3.57
9780356502304,4.19,18304558,Paperback,328,2013,207,27,1798.0,1,4.08
9780373024629,3.11,2836630,Mass Market Paperback,189,1982,9,3,10.0,0,3.3
9780373026050,3.09,7569837,Paperback,190,1984,88,21,396.0,0,3.32
9780373036868,3.53,519086,Paperback,192,2002,15,1,24.0,0,3.65
9780373085798,3.98,389638,Mass Market Paperback,189,1988,113,8,244.0,1,4.02
9780373091690,3.95,22521777,Paperback,368,2014,9,3,97.0,0,4.26
9780373107353,3.59,1613978,Mass Market Paperback,186,1984,76,17,81.0,0,3.32
9780373110988,2.8,4143137,Paperback,187,1988,10,5,17.0,0,3.04
9780373122578,3.1,2722825,Paperback,187,2002,52,5,43.0,0,3.3
9780373125654,3.36,3123947,Paperback,187,2006,163,6,136.0,0,3.42
9780373131754,3.56,17570220,Paperback,192,2013,9,5,254.0,1,3.6
9780373196821,3.33,1798072,Paperback,187,2003,15,1,11.0,0,3.91
9780373264254,3.66,1334772,Paperback,253,2002,53,11,39.0,1,3.53
9780373270781,3.67,899701,Paperback,248,2000,23,2,42.0,0,3.88
9780373291687,3.28,2738048,Paperback,298,2001,18,1,26.0,1,3.53
9780373293346,3.97,519591,Paperback,296,2004,72,7,86.0,1,3.88
9780373445547,4.29,17570261,Paperback,224,2013,146,31,606.0,1,4.12
9780373513611,3.82,2056762,Paperback,297,2005,16,3,18.0,1,3.66
9780373607006,3.76,13261120,Paperback,368,2012,50,12,4.0,1,4.0
9780373607686,3.49,16116346,Paperback,384,2013,0,1,352.0,0,3.6
9780373617968,3.89,3413905,Paperback,275,2008,160,9,240.0,0,3.9399999999999995
9780373650644,3.61,440262,Mass Market Paperback,256,2003,588,23,332.0,1,4.01
9780373655007,3.58,7454972,Paperback,214,2010,35,3,52.0,1,3.68
9780373675159,4.25,13263435,Paperback,288,2012,8,3,306.0,1,4.1
9780373675197,3.79,13545563,Paperback,288,2012,58,10,62.0,0,4.03
9780373696970,4.07,17164136,Paperback,224,2013,7,3,90.0,1,4.17
9780373715121,3.72,5174954,Paperback,249,2008,14,2,63.0,1,3.68
9780373732012,3.48,13706822,Paperback,192,2012,80,9,26.0,1,3.69
9780373734924,3.83,30227857,Mass Market Paperback,215,2016,242,50,157.0,1,3.68
9780373748044,4.15,18467944,Paperback,288,2014,0,1,548.0,0,4.04
9780373761111,2.92,644631,Paperback,186,1997,11,2,11.0,0,3.32
9780373761296,3.52,158174,Paperback,192,1998,22,2,13.0,0,3.53
9780373771660,4.07,32102,Paperback,364,2006,8605,615,667.0,0,3.89
9780373785469,3.66,1647332,Paperback,312,2005,54,5,28.0,0,3.74
9780373792818,3.94,1672992,Paperback,242,2006,346,11,288.0,1,3.6
9780373802326,3.94,387709,Paperback,488,2005,482,9,286.0,1,3.78
9780373838516,4.3,33413521,Paperback,224,2017,37,25,20.0,1,3.88
9780373838615,4.04,34019021,Paperback,224,2017,5,1,27.0,1,3.69
9780373862320,3.76,12133753,Paperback,224,2011,102,15,110.0,1,4.27
9780373863181,4.55,17382889,Paperback,217,2013,50,15,42.0,1,4.31
9780373877461,4.02,13263402,Paperback,224,2012,4,1,60.0,1,3.88
9780373882526,3.61,16058894,Paperback,192,2012,0,1,7.0,0,3.65
9780374128906,4.24,531207,Hardcover,272,1989,52,5,2568.0,0,4.15
9780374153595,3.77,22237148,Hardcover,96,2015,34,6,193.0,0,4.06
9780374370992,4.09,1954235,Hardcover,31,1972,33,15,528.0,0,4.05
9780374710200,4.32,23311329,ebook,544,2015,9,2,11429.0,0,3.86
9780375703676,3.66,755021,Paperback,203,1999,737,111,543.0,0,3.64
9780375761379,3.93,139673,Paperback,608,2002,229,23,511.0,0,3.9899999999999998
9780375811142,3.93,869398,Hardcover,32,2001,58,8,18.0,0,3.915
9780375843792,3.94,7770595,Hardcover,240,2010,49,6,30.0,1,3.9799999999999995
9780375849770,3.71,3022839,Hardcover,36,2008,99,16,25.0,0,3.79
9780375872808,3.84,12184497,Board Book,22,2012,279,23,67.0,1,4.08
9780375896958,3.9,9470944,ebook,256,2010,22,6,293.0,1,3.96
9780375928994,4.16,8559989,Library Binding,32,2004,2,2,84.0,0,4.125
9780375971204,3.75,15927568,Hardcover,112,2013,2,1,19.0,0,3.82
9780376014276,3.43,8275862,Paperback,192,2011,14,2,11.0,0,3.6
9780380007943,4.11,2716601,Paperback,240,1978,35,8,4674.0,1,4.06
9780380706136,3.98,73906,Paperback,496,1998,12587,425,2275.0,1,3.98
9780380731527,3.84,1087612,Paperback,256,1999,24,3,41.0,0,3.73
9780380755516,3.65,2232486,Paperback,361,1988,17,4,38.0,0,3.72
9780380816255,3.64,972682,Paperback,352,2001,14,2,8.0,1,3.72
9780380976812,3.71,2500227,Hardcover,146,1999,6,5,39.0,1,3.99
9780385069274,4.1,1044283,Hardcover,238,1966,18,6,727.0,0,4.0
9780385344944,3.74,17883947,Paperback,144,2014,82,13,85.0,0,3.61
9780385351454,3.33,25760307,Paperback,386,2013,2,1,22094.0,1,3.7
9780385353618,4.1,24904388,Hardcover,320,2015,810,191,7.0,0,4.1
9780385384032,3.88,21469639,ebook,368,2014,7,5,2623.0,1,3.936666666666667
9780385479615,3.72,2474773,Hardcover,419,1996,15,1,472.0,1,3.76
9780385526104,3.56,3421611,Hardcover,336,2008,65,9,97.0,0,3.83
9780385532839,3.4,8271070,Hardcover,176,2010,198,47,346.0,0,3.48
9780385603409,4.18,833526,Hardcover,352,2003,516,28,2448.0,1,4.14
