average_rating,format,num_pages,publication_year,ratings_count,text_reviews_count,to_read_count,series_binary,author_average_rating
3.95,Hardcover,160,2014,42,6,57.0,0,3.97
4.16,Paperback,135,2001,670,75,861.0,0,4.1075
4.19,Paperback,128,2013,157,9,380.0,0,4.11
3.78,Hardcover,144,2008,83,5,101.0,0,3.775
3.92,Hardcover,413,1991,2,1,19.0,1,3.75
4.04,Paperback,296,1988,51,2,66.0,0,3.96
4.16,Paperback,184,2009,18,3,53.0,0,3.9666666666666663
4.2,Paperback,618,1977,104,5,271.0,1,4.15
3.48,ebook,240,2011,2,2,780.0,0,3.92
3.63,Paperback,280,2008,59,7,109.0,0,3.97
3.62,Paperback,211,2007,36,10,66.0,0,3.82
3.33,Paperback,274,2010,15,1,11.0,0,3.29
3.72,Paperback,256,2016,14,1,8191.0,0,3.77
4.33,Hardcover,565,1955,414,48,396.0,0,4.25
3.02,Paperback,166,2005,57,5,32.0,0,3.13
3.0,Paperback,248,2012,4,2,6.0,0,3.0
4.14,Paperback,304,1991,316,3,476.0,0,3.94
4.0,Hardcover,542,1975,19,4,148.0,0,4.025
4.5,Hardcover,391,1999,4,1,15.0,0,4.2
3.32,Hardcover,125,2009,50,9,68.0,0,3.58
3.92,Paperback,453,1997,12,4,10.0,0,3.63
3.32,Paperback,304,2014,59,15,3693.0,1,3.35
3.5,Hardcover,240,2006,4,1,9.0,0,3.6
3.67,Hardcover,224,1997,3,1,1.0,0,2.8
4.57,Hardcover,389,2002,7,2,35.0,0,4.300000000000001
2.98,Hardcover,224,2006,9,2,116.0,0,3.2
3.95,Paperback,256,2008,43,4,1547.0,0,3.89
3.86,Paperback,432,2009,406,93,7202.0,1,4.119999999999999
3.26,Hardcover,304,2012,72,13,76.0,1,3.535
3.62,Paperback,256,2014,2,1,71.0,0,3.65
3.25,Paperback,248,1980,32,1,19.0,0,3.4050000000000002
3.29,Paperback,16,1989,12,3,12.0,0,4.11
4.0,Hardcover,306,1990,1,1,5.0,0,3.82
3.96,Paperback,352,2012,17,2,48.0,0,3.78
4.53,Paperback,412,1989,119,14,70.0,0,4.195
4.15,Hardcover,31,1983,9,1,501.0,1,4.21
4.12,Paperback,160,1987,37,5,14.0,0,4.01
3.36,Hardcover,551,2010,1110,127,1472.0,1,3.51
3.51,Hardcover,208,2014,244,43,620.0,0,3.9099999999999997
3.63,Paperback,225,2007,17,4,5946.0,0,3.97
4.08,Hardcover,80,2008,64,5,166.0,1,3.86
4.25,Paperback,352,2011,1527,27,853.0,0,4.02
3.97,ebook,576,2007,8,4,115886.0,0,3.936666666666667
4.4,other,0,2011,7,2,923.0,1,4.07
4.04,ebook,304,2009,5,1,19.0,0,4.12
4.12,Hardcover,421,2014,148,28,2332.0,0,3.99
4.13,ebook,192,2011,2,1,247.0,0,4.25
3.3,ebook,64,2013,19,5,28.0,0,3.94
3.94,ebook,488,2011,47,7,23.0,0,3.83
4.12,Hardcover,319,2010,12,2,32.0,1,4.21
4.56,Hardcover,2055,2000,107,9,17.0,0,4.15
3.0,Hardcover,224,2001,31,9,18.0,0,3.36
3.0,Hardcover,304,2005,17,5,28.0,1,2.93
3.98,Hardcover,276,1983,55,7,42.0,0,4.18
3.81,Hardcover,272,2005,87,19,2100.0,0,3.81
2.89,Hardcover,224,2006,221,33,310.0,0,3.033333333333333
4.03,Hardcover,656,2007,6,5,182.0,1,3.79
3.6,Paperback,368,2011,121,17,6228.0,0,3.59
3.5,Paperback,368,2011,29,4,66.0,0,3.4400000000000004
3.83,Hardcover,352,1998,16,3,255.0,1,3.89
3.59,Paperback,339,2006,90,9,134.0,0,3.83
3.76,Paperback,288,2005,8289,134,1559.0,0,4.0
3.67,Paperback,196,2008,481,88,16196.0,0,3.71
3.8,Hardcover,326,2011,6003,549,11335.0,0,3.83
4.44,Paperback,688,2009,299,41,123.0,1,4.44
3.52,ebook,100,2011,32,1,191.0,0,3.9257142857142857
4.06,Paperback,208,2016,39,9,337.0,1,4.23
4.56,Paperback,240,2014,85,16,288.0,1,4.37
4.05,Hardcover,96,2016,231,38,365.0,0,3.865
3.38,Hardcover,373,2016,798,168,646.0,0,3.42
3.4,Paperback,128,2016,41,6,24.0,0,3.57
4.16,Hardcover,698,1982,67,7,99.0,0,4.05
3.7,Paperback,592,2003,1,1,17.0,0,3.37
3.68,Paperback,252,1978,6,2,504.0,0,4.03
3.67,Paperback,476,2011,37,7,2199.0,0,3.91
3.92,Paperback,394,2011,101,25,18200.0,1,3.88
3.36,Hardcover,296,1979,76,14,89.0,0,3.86
3.6,Paperback,180,2003,9,2,65.0,1,3.93
4.0,Hardcover,272,1991,2,1,6.0,0,4.14
3.32,Paperback,336,2003,16,4,120.0,0,4.27
3.84,Paperback,206,2005,124,4,56.0,0,3.84
3.96,other,384,2002,7,1,1717.0,1,3.945
3.94,Paperback,224,2005,1453,79,526.0,0,4.16
3.63,Paperback,435,2007,15,1,22.0,0,3.52
3.91,Paperback,174,2012,15,2,32.0,1,3.76
3.81,Paperback,562,1977,346,38,429.0,0,3.91
3.08,other,183,1984,11,3,7.0,0,3.1
4.04,other,448,2000,363,55,4718.0,0,3.91
4.12,Paperback,588,1996,5504,291,7494.0,0,4.13
3.75,Paperback,432,2005,282,23,126.0,0,4.17
3.79,Hardcover,435,1999,27,7,335.0,0,3.81
3.63,Paperback,304,2001,92,15,47.0,0,3.59
3.29,other,256,1999,22,5,17.0,0,3.51
3.31,Paperback,304,2003,160,28,143.0,0,3.52
3.85,Paperback,208,2004,314,38,302.0,0,3.59
3.38,Paperback,288,2004,986,123,396.0,0,3.69
4.27,Paperback,416,2005,3,1,5284.0,0,4.18
3.61,Paperback,384,2008,3394,132,4314.0,1,3.84
4.31,Paperback,208,2007,581,11,148.0,1,4.21
4.1,ebook,382,2007,43,7,2161.0,1,4.18
3.7,ebook,0,2008,25,3,642.0,1,4.02
4.33,Paperback,512,2010,82,6,76.0,1,4.0
3.3,Paperback,240,2010,558,74,423.0,0,3.8
3.95,Paperback,402,2012,420,69,3006.0,0,4.22
3.41,Hardcover,340,2012,1331,265,4665.0,1,3.4
3.98,ebook,288,2013,539,122,941.0,1,4.17
4.2,Hardcover,416,2016,172,29,222.0,1,4.09
3.82,Paperback,240,2016,62,17,970.0,0,3.82
4.06,Paperback,440,2012,755,164,9127.0,1,4.073333333333333
3.79,Paperback,422,2013,15,4,666.0,0,3.76
3.33,other,136,1972,8,1,36.0,1,3.77
3.7,Paperback,336,2013,412,33,525.0,1,3.57
4.19,Paperback,328,2013,207,27,1798.0,1,4.08
3.11,other,189,1982,9,3,10.0,0,3.3
3.09,Paperback,190,1984,88,21,396.0,0,3.32
3.53,Paperback,192,2002,15,1,24.0,0,3.65
3.98,other,189,1988,113,8,244.0,1,4.02
3.95,Paperback,368,2014,9,3,97.0,0,4.26
3.59,other,186,1984,76,17,81.0,0,3.32
2.8,Paperback,187,1988,10,5,17.0,0,3.04
3.1,Paperback,187,2002,52,5,43.0,0,3.3
3.36,Paperback,187,2006,163,6,136.0,0,3.42
3.56,Paperback,192,2013,9,5,254.0,1,3.6
3.33,Paperback,187,2003,15,1,11.0,0,3.91
3.66,Paperback,253,2002,53,11,39.0,1,3.53
3.67,Paperback,248,2000,23,2,42.0,0,3.88
3.28,Paperback,298,2001,18,1,26.0,1,3.53
3.97,Paperback,296,2004,72,7,86.0,1,3.88
4.29,Paperback,224,2013,146,31,606.0,1,4.12
3.82,Paperback,297,2005,16,3,18.0,1,3.66
3.76,Paperback,368,2012,50,12,4.0,1,4.0
3.49,Paperback,384,2013,0,1,352.0,0,3.6
3.89,Paperback,275,2008,160,9,240.0,0,3.9399999999999995
3.61,other,256,2003,588,23,332.0,1,4.01
3.58,Paperback,214,2010,35,3,52.0,1,3.68
4.25,Paperback,288,2012,8,3,306.0,1,4.1
3.79,Paperback,288,2012,58,10,62.0,0,4.03
4.07,Paperback,224,2013,7,3,90.0,1,4.17
3.72,Paperback,249,2008,14,2,63.0,1,3.68
3.48,Paperback,192,2012,80,9,26.0,1,3.69
3.83,other,215,2016,242,50,157.0,1,3.68
4.15,Paperback,288,2014,0,1,548.0,0,4.04
2.92,Paperback,186,1997,11,2,11.0,0,3.32
3.52,Paperback,192,1998,22,2,13.0,0,3.53
4.07,Paperback,364,2006,8605,615,667.0,0,3.89
3.66,Paperback,312,2005,54,5,28.0,0,3.74
3.94,Paperback,242,2006,346,11,288.0,1,3.6
3.94,Paperback,488,2005,482,9,286.0,1,3.78
4.3,Paperback,224,2017,37,25,20.0,1,3.88
4.04,Paperback,224,2017,5,1,27.0,1,3.69
3.76,Paperback,224,2011,102,15,110.0,1,4.27
4.55,Paperback,217,2013,50,15,42.0,1,4.31
4.02,Paperback,224,2012,4,1,60.0,1,3.88
3.61,Paperback,192,2012,0,1,7.0,0,3.65
4.24,Hardcover,272,1989,52,5,2568.0,0,4.15
3.77,Hardcover,96,2015,34,6,193.0,0,4.06
4.09,Hardcover,31,1972,33,15,528.0,0,4.05
4.32,ebook,544,2015,9,2,11429.0,0,3.86
3.66,Paperback,203,1999,737,111,543.0,0,3.64
3.93,Paperback,608,2002,229,23,511.0,0,3.9899999999999998
3.93,Hardcover,32,2001,58,8,18.0,0,3.915
3.94,Hardcover,240,2010,49,6,30.0,1,3.9799999999999995
3.71,Hardcover,36,2008,99,16,25.0,0,3.79
3.84,other,22,2012,279,23,67.0,1,4.08
3.9,ebook,256,2010,22,6,293.0,1,3.96
4.16,other,32,2004,2,2,84.0,0,4.125
3.75,Hardcover,112,2013,2,1,19.0,0,3.82
3.43,Paperback,192,2011,14,2,11.0,0,3.6
4.11,Paperback,240,1978,35,8,4674.0,1,4.06
3.98,Paperback,496,1998,12587,425,2275.0,1,3.98
3.84,Paperback,256,1999,24,3,41.0,0,3.73
3.65,Paperback,361,1988,17,4,38.0,0,3.72
3.64,Paperback,352,2001,14,2,8.0,1,3.72
3.71,Hardcover,146,1999,6,5,39.0,1,3.99
4.1,Hardcover,238,1966,18,6,727.0,0,4.0
3.74,Paperback,144,2014,82,13,85.0,0,3.61
3.33,Paperback,386,2013,2,1,22094.0,1,3.7
4.1,Hardcover,320,2015,810,191,7.0,0,4.1
3.88,ebook,368,2014,7,5,2623.0,1,3.936666666666667
3.72,Hardcover,419,1996,15,1,472.0,1,3.76
3.56,Hardcover,336,2008,65,9,97.0,0,3.83
3.4,Hardcover,176,2010,198,47,346.0,0,3.48
4.18,Hardcover,352,2003,516,28,2448.0,1,4.14
3.43,Paperback,256,2013,4,2,235.0,0,3.51
3.07,Paperback,256,1971,14,2,6.0,0,3.24
4.11,ebook,464,1990,16,3,3552.0,1,4.3
3.81,Hardcover,224,2009,238,27,405.0,0,3.74
3.68,Paperback,88,1998,29,2,18.0,0,4.21
3.91,Paperback,416,2008,458,68,477.0,0,4.02
4.02,other,5,2002,102,4,181.0,0,3.37
3.71,other,182,1975,12,1,8.0,1,3.67
4.29,Hardcover,804,1989,11,2,314.0,0,3.91
3.88,Hardcover,302,1989,107,7,145.0,0,3.97
3.87,Paperback,197,2000,150,14,365.0,0,3.98
4.06,Paperback,266,1988,11889,563,178.0,1,4.07
4.31,Hardcover,988,1971,3,1,368.0,1,4.15
4.08,Hardcover,586,1988,78,10,993.0,0,3.935
4.09,Hardcover,471,1989,17,3,3978.0,0,4.05
3.61,Hardcover,326,1994,18,4,18.0,0,3.67
3.92,Paperback,284,1995,77,9,452.0,0,3.78
4.19,Hardcover,306,1974,90,9,167.0,0,4.23
3.71,Hardcover,115,1987,12,5,534.0,0,3.79
3.89,Hardcover,264,1998,27,4,1098.0,0,4.02
3.85,Hardcover,406,2013,837,193,1371.0,1,3.73
4.0,Hardcover,40,2002,38,8,837.0,0,4.14
4.05,Hardcover,32,2003,12,4,88.0,0,3.94
4.33,Hardcover,405,2013,4014,407,35.0,1,4.06
3.92,Paperback,144,2010,33,13,28.0,0,3.87
3.89,Paperback,357,2016,86,7,23378.0,0,4.18
3.87,other,181,1971,168,3,73.0,0,4.095000000000001
4.0,Paperback,448,2003,31,1,10.0,0,3.9500000000000006
3.97,Paperback,97,1996,60,3,35.0,0,4.01
4.1,Paperback,728,1982,58,3,128.0,0,4.06
4.43,Hardcover,331,2001,186,15,5729.0,0,4.390000000000001
4.17,Paperback,192,2004,5,1,7.0,0,4.04
0.0,Hardcover,266,2007,0,1,8.0,0,3.625
4.36,Hardcover,864,2009,13,1,68.0,0,4.286666666666667
3.56,Hardcover,256,1970,18,7,53.0,0,3.97
3.92,Paperback,184,1980,2,1,90.0,1,3.86
4.08,Paperback,328,1997,7048,115,15.0,1,3.92
3.59,Paperback,192,1998,27,1,18.0,1,3.47
3.95,Paperback,224,1999,153,16,100.0,1,3.78
3.73,Paperback,272,2008,96,8,110.0,1,3.69
3.92,Hardcover,304,2015,1112,140,965.0,1,3.82
4.16,Paperback,368,2013,172,10,4000.0,1,4.08
3.94,Hardcover,288,2017,671,160,1266.0,1,3.97
4.25,Paperback,400,2016,106,21,300.0,1,4.0
3.81,Paperback,288,1998,23,7,23.0,0,3.92
3.64,Hardcover,203,2001,248,37,250.0,1,3.77
3.65,other,27,2002,20,10,20.0,0,4.04
3.9,Paperback,144,2002,785,28,221.0,1,3.8333333333333335
4.15,Hardcover,32,2005,268,78,94.0,0,3.9899999999999998
3.36,Paperback,352,2006,42,11,36.0,0,3.57
4.26,Hardcover,590,2012,65,14,10.0,1,4.06
4.08,Paperback,137,2009,639,39,1003.0,1,3.68
4.02,Paperback,128,2008,93,17,35.0,0,4.13
3.61,Paperback,400,1992,348,37,910.0,0,3.86
3.0,other,385,1993,14,1,20.0,0,3.08
3.89,other,240,1997,86,9,42.0,0,3.81
4.17,Paperback,336,2009,681,21,401.0,1,3.87
3.64,Paperback,87,1996,70,13,31.0,0,3.735
3.56,other,224,2009,239,28,211.0,0,3.71
3.85,Paperback,96,1996,93,7,2264.0,0,4.0
3.85,other,511,2003,3766,203,245.0,1,3.81
3.2,Paperback,384,2007,160,20,114.0,0,3.72
4.22,Paperback,500,2006,114,5,396.0,0,4.17
3.82,Paperback,384,2009,497,92,3827.0,0,3.92
3.62,Hardcover,320,2009,21,1,4.0,0,3.755
3.47,Paperback,432,2015,15,2,1058.0,0,3.58
3.69,Paperback,446,2005,403,34,244.0,0,3.86
4.25,Paperback,541,2009,69,11,2229.0,1,4.22
3.96,other,205,1981,169,24,146.0,1,4.23
3.89,Hardcover,180,1987,304,50,97.0,0,3.81
3.94,Paperback,224,2006,71,2,44.0,1,3.85
3.35,Paperback,32,2009,17,3,17.0,1,4.02
3.68,Paperback,192,2010,107,16,154.0,1,3.98
3.96,Paperback,32,2012,123,16,66.0,0,3.87
3.17,Hardcover,32,2016,16,5,2.0,0,3.7800000000000002
4.0,other,344,1998,189,13,468.0,1,3.83
3.83,other,144,1980,3,2,11.0,1,3.69
4.2,Paperback,336,1995,332,26,970.0,0,4.2
3.63,Paperback,222,1976,19,5,36.0,0,3.72
3.75,Paperback,247,1977,220,24,183.0,0,3.71
3.91,Paperback,224,1995,1904,192,1281.0,0,3.9
4.05,Paperback,336,2002,819,32,344.0,1,4.2
3.96,Hardcover,288,2008,1237,110,577.0,1,3.87
3.42,Paperback,384,1994,60,7,216.0,1,3.76
3.96,other,312,2012,996,84,1681.0,1,3.94
4.06,Paperback,320,2015,303,38,443.0,1,3.99
4.09,Paperback,336,2016,413,82,946.0,1,4.09
3.85,other,368,2016,443,86,824.0,1,4.14
4.0,Paperback,480,2015,195,22,8194.0,1,4.09
3.68,Hardcover,96,2017,19,7,39.0,0,3.83
3.78,Paperback,208,1983,16031,469,14185.0,0,3.8049999999999997
3.8,Paperback,464,1991,21,2,180.0,0,3.88
3.81,Paperback,296,2009,82,12,612.0,1,3.76
3.69,Paperback,360,2010,113,12,2894.0,0,3.65
3.75,Paperback,240,2006,12,2,14.0,0,3.72
4.18,Hardcover,272,2009,34,2,41.0,0,4.18
3.5,Paperback,760,2009,2,1,6.0,0,3.395
4.11,Hardcover,942,2007,60,6,81.0,0,3.98
4.35,Hardcover,704,2016,122,24,404.0,0,4.0
4.3,Hardcover,224,2010,54,7,36.0,0,4.31
3.33,Hardcover,358,2010,31,1,56.0,0,3.39
3.51,Paperback,384,2005,11,1,15.0,0,3.48
4.09,Hardcover,280,2006,207,5,1510.0,0,4.09
3.45,Paperback,216,2006,40,7,4.0,0,3.44
3.72,Hardcover,336,2007,75,20,20.0,0,3.66
4.0,Paperback,144,1974,12,1,8.0,0,4.105
3.45,Paperback,416,1995,10,2,21.0,0,4.04
3.83,Paperback,64,2015,12,8,2.0,0,3.83
3.98,Paperback,180,1985,68,8,50.0,0,3.93
4.47,Hardcover,320,2015,48,15,308.0,0,4.32
3.86,Paperback,325,2007,4204,383,3238.0,1,3.94
3.95,other,324,2009,151,20,307.0,1,4.03
3.92,Paperback,255,1975,20,5,115.0,0,4.21
4.17,Hardcover,244,1985,19,2,10.0,0,3.89
4.38,Hardcover,60,1999,8,3,3.0,0,3.84
4.47,Hardcover,144,1997,13,3,14.0,0,4.47
4.2,Hardcover,889,2000,5,1,9.0,0,3.84
4.33,Hardcover,218,2000,14,1,35.0,0,3.77
3.93,Paperback,390,2006,51,6,210.0,0,3.97
3.95,Paperback,112,1976,13,6,1178.0,0,3.74
4.0,Hardcover,315,2010,1,1,4.0,0,3.54
3.83,Paperback,272,1982,25,2,102.0,0,3.79
3.48,Paperback,268,2002,48,8,70.0,0,3.57
3.95,Paperback,350,2007,77,8,259.0,0,3.8733333333333335
3.33,Paperback,134,2010,4,2,9.0,1,3.76
3.67,Paperback,142,2010,6,1,4.0,0,3.82
3.0,Paperback,204,2007,4,2,3.0,0,3.415
